ClienteCodigo,Potencial
0000232173,P2
0000232252,P1
0000231960,P2
0000232368,P4
0000232419,P1
0000232430,P4
0000232451,P1
0000265731,P4
0000266904,P2
0000267147,P1
0000267346,P3
0000391058,P3
0000521126,P4
0000521066,P2
0000521145,P4
0000521159,P4
0000521574,P3
0000522069,P4
0000520842,P4
0000521577,P4
0000521581,P2
0000520874,P2
0000521589,P3
0000521593,P3
0000521605,P3
0000519443,P4
0000522336,P4
0000522489,P4
0000521633,P3
0000521643,P2
0000521484,P3
0000519641,P3
0000519909,P4
0000519656,P3
0000521940,P3
0000519453,P2
0000518990,P3
0000521110,P2
0000519006,P3
0000518982,P2
0000518958,P2
0000519003,P3
0000521053,P4
0000521765,P2
0000521672,P4
0000526543,P4
0000294878,P1
0000295080,P1
0000249470,P4
0000249665,P1
0000240331,P1
0000240431,P1
0000240490,P4
0000240668,P1
0000240674,P2
0000241113,P3
0000241142,P3
0000100097,P2
0000100116,P2
0000258558,P4
0000258638,P4
0000387258,P1
0000286768,P2
0000394994,P4
0000395022,P2
0000241578,P1
0000346607,P4
0000244538,P4
0000350543,P1
0000244581,P4
0000398922,P3
0000239405,P3
0000239564,P2
0000264618,P3
0000239455,P1
0000247937,P4
0000287276,P2
0000231028,P3
0000232142,P1
0000231283,P2
0000231318,P1
0000231358,P2
0000231170,P4
0000269334,P3
0000238842,P2
0000263186,P4
0000263358,P2
0000263677,P2
0000263881,P3
0000239129,P2
0000231022,P4
0000231059,P2
0000231142,P4
0000384346,P3
0000384427,P3
0000255405,P2
0000255615,P4
0000231190,P2
0000230242,P3
0000231319,P1
0000231324,P2
0000249177,P2
0000345866,P3
0000351425,P2
0000398888,P2
0000386061,P2
0000261802,P2
0000233148,P2
0000233173,P3
0000233283,P2
0000244782,P2
0000241030,P4
0000241070,P1
0000330062,P4
0000241201,P2
0000386364,P2
0000386398,P4
0000386464,P2
0000386670,P4
0000234062,P3
0000234069,P2
0000234074,P4
0000394748,P1
0000231517,P2
0000231539,P2
0000231988,P4
0000230275,P2
0000230331,P4
0000230470,P2
0000230906,P2
0000394835,P3
0000241824,P3
0000367027,P2
0000256073,P4
0000296305,P2
0000297530,P2
0000298482,P3
0000386144,P2
0000384830,P2
0000236218,P3
0000236231,P2
0000234945,P1
0000234901,P2
0000236342,P3
0000234949,P2
0000260590,P2
0000263506,P3
0000389319,P3
0000263573,P2
0000263992,P3
0000263993,P3
0000264088,P2
0000260773,P1
0000264100,P3
0000264176,P4
0000264201,P3
0000389355,P4
0000384879,P3
0000385017,P2
0000385292,P2
0000264363,P3
0000245903,P1
0000236638,P4
0000234996,P1
0000235013,P2
0000235422,P3
0000240790,P2
0000240835,P3
0000241024,P2
0000240093,P4
0000240181,P4
0000240252,P2
0000240426,P1
0000240496,P1
0000235447,P3
0000246086,P2
0000235954,P3
0000246557,P3
0000246901,P3
0000247007,P3
0000247025,P2
0000247230,P2
0000247234,P3
0000236224,P2
0000236282,P3
0000247300,P4
0000236332,P2
0000395395,P1
0000395426,P2
0000395524,P2
0000395688,P4
0000395724,P2
0000395759,P4
0000265552,P2
0000242683,P3
0000242700,P2
0000265611,P3
0000265956,P3
0000266775,P3
0000266783,P3
0000267190,P2
0000267279,P2
0000258025,P1
0000388206,P1
0000267243,P4
0000267317,P3
0000231768,P3
0000232166,P4
0000231951,P2
0000232421,P4
0000232598,P3
0000232605,P1
0000267337,P2
0000267411,P2
0000267470,P2
0000268159,P2
0000243329,P2
0000234262,P2
0000234319,P1
0000234372,P3
0000234518,P2
0000234701,P4
0000258090,P4
0000237275,P4
0000258621,P3
0000391189,P3
0000391413,P4
0000391540,P4
0000389029,P2
0000389236,P2
0000406902,P4
0000407014,P4
0000399443,P1
0000258376,P2
0000257167,P3
0000437163,P4
0000416640,P2
0000432669,P3
0000521136,P2
0000521168,P3
0000521169,P1
0000521151,P2
0000521198,P3
0000521189,P4
0000521188,P2
0000521190,P4
0000520998,P4
0000521578,P1
0000519036,P3
0000528243,P3
0000522491,P4
0000521641,P3
0000521644,P1
0000520768,P2
0000519908,P3
0000518956,P2
0000518986,P3
0000518985,P2
0000518957,P1
0000518945,P4
0000240525,P4
0000240622,P4
0000526205,P1
0000240856,P4
0000262458,P2
0000238989,P4
0000239081,P1
0000239253,P2
0000238562,P4
0000238633,P2
0000100021,P3
0000100023,P2
0000100052,P3
0000100115,P4
0000100252,P3
0000249208,P2
0000249451,P1
0000234295,P4
0000234298,P2
0000233285,P1
0000233350,P3
0000233405,P1
0000233426,P2
0000233448,P2
0000262524,P1
0000387071,P2
0000262612,P4
0000387124,P2
0000233614,P3
0000234470,P4
0000233752,P2
0000233818,P1
0000233827,P1
0000241226,P3
0000241478,P1
0000346316,P2
0000346375,P4
0000255962,P4
0000384086,P3
0000353638,P2
0000239353,P1
0000239374,P1
0000239414,P4
0000264542,P3
0000239574,P1
0000247786,P2
0000247970,P2
0000248032,P1
0000521233,P4
0000521061,P4
0000521081,P4
0000521137,P3
0000521131,P2
0000521935,P3
0000521937,P2
0000521088,P1
0000521068,P4
0000257365,P3
0000234195,P2
0000234210,P1
0000234229,P1
0000234251,P2
0000235123,P3
0000361584,P2
0000363218,P2
0000363905,P2
0000231428,P1
0000231724,P1
0000231788,P4
0000231819,P4
0000231925,P4
0000260348,P4
0000274701,P3
0000274983,P3
0000248036,P2
0000275404,P2
0000234912,P2
0000234379,P1
0000234384,P1
0000235307,P2
0000239844,P1
0000239539,P2
0000239626,P1
0000240000,P2
0000387567,P4
0000387661,P1
0000242958,P4
0000243072,P4
0000243227,P3
0000243229,P2
0000265217,P3
0000265361,P2
0000406127,P3
0000406211,P3
0000406249,P1
0000387803,P3
0000387812,P2
0000388122,P1
0000258113,P3
0000318302,P2
0000319319,P3
0000321974,P4
0000322989,P2
0000266655,P2
0000267218,P4
0000233926,P2
0000231565,P1
0000234066,P2
0000232054,P2
0000237790,P1
0000237044,P3
0000237046,P4
0000237236,P3
0000266748,P1
0000266786,P3
0000393591,P2
0000265815,P2
0000388841,P1
0000243354,P1
0000243423,P3
0000243690,P2
0000243734,P3
0000243913,P4
0000389917,P3
0000389990,P2
0000257844,P4
0000420744,P3
0000420771,P2
0000420782,P4
0000404023,P4
0000420863,P2
0000247631,P3
0000247783,P1
0000247836,P2
0000243592,P2
0000393412,P2
0000398595,P4
0000398702,P1
0000398712,P2
0000389708,P4
0000268497,P3
0000268543,P2
0000425570,P2
0000267107,P3
0000246508,P1
0000246592,P1
0000303375,P2
0000304588,P2
0000309359,P2
0000310734,P3
0000269051,P2
0000241998,P1
0000242067,P1
