ClienteCodigo,Potencial
0000533880,P3
0000533881,P4
0000533890,P4
0000533893,P3
0000533897,P4
0000533898,P4
0000533910,P4
0000533914,P1
0000533915,P4
0000533916,P4
0000533920,P4
0000533928,P2
0000533933,P4
0000533612,P4
0000247694,P2
0000475522,P3
0000529669,P4
0000230422,P1
0000503579,P4
0000525894,P3
0000427129,P2
0000430445,P2
0000509169,P4
0000522581,P1
0000498473,P4
0000476292,P4
0000457056,P1
0000383127,P1
0000230981,P4
0000236876,P3
0000515805,P4
0000448397,P3
0000524982,P4
0000482429,P1
0000232089,P4
0000233516,P1
0000446233,P4
0000496437,P2
0000535647,P3
0000535648,P1
0000535649,P4
0000535650,P2
0000535651,P4
0000535652,P4
0000535653,P3
0000535654,P2
0000535655,P3
0000535656,P4
0000535657,P3
0000535658,P3
0000535659,P4
0000513758,P4
0000471574,P3
0000389311,P1
0000237059,P4
0000255242,P1
0000494135,P3
0000477336,P2
0000280837,P2
0000501308,P3
0000288274,P2
0000497633,P2
0000448271,P1
0000507159,P4
0000390517,P3
0000514348,P2
0000506134,P2
0000496774,P4
0000528115,P1
0000512808,P4
0000529253,P1
0000509438,P2
0000510688,P4
0000508110,P2
0000476176,P3
0000490151,P4
0000250140,P3
0000441886,P3
0000318851,P4
0000521053,P4
0000477198,P3
0000452525,P4
0000502610,P4
0000524595,P4
0000473192,P2
0000398865,P3
0000409668,P4
0000481388,P4
0000484352,P4
0000426220,P2
0000502504,P2
0000517533,P4
0000529058,P2
0000367115,P1
0000245152,P4
0000505975,P1
0000533719,P4
0000262023,P3
0000519937,P4
0000249736,P2
0000302019,P2
0000527595,P3
0000409949,P2
0000514040,P4
0000304321,P4
0000471028,P2
0000448384,P2
0000524457,P3
0000429897,P2
0000238569,P3
0000451991,P3
0000489609,P4
0000524199,P1
0000329708,P2
0000507054,P4
0000501490,P2
0000514411,P3
0000516989,P3
0000480805,P3
0000484075,P4
0000524945,P4
0000383177,P1
0000518997,P3
0000510962,P4
0000407718,P4
0000512192,P1
0000529445,P2
0000524424,P4
0000468363,P3
0000404947,P4
0000254927,P1
0000260018,P4
0000502312,P1
0000507344,P2
0000432786,P4
0000468221,P2
0000492218,P3
0000483930,P1
0000527929,P2
0000510720,P4
0000527726,P3
0000421603,P2
0000518462,P2
0000511849,P2
0000486391,P4
0000450040,P2
0000515672,P3
0000246989,P3
0000526147,P4
0000286735,P3
0000530436,P4
0000526909,P4
0000509139,P2
0000534041,P3
0000509073,P4
0000397869,P1
0000426896,P2
0000508989,P4
0000434106,P2
0000412393,P4
0000501482,P1
0000520664,P1
0000531762,P3
0000396739,P1
0000244665,P4
0000517844,P2
0000462265,P2
0000382133,P4
0000396020,P2
0000531337,P4
0000469962,P4
0000432403,P4
0000519451,P1
0000531230,P2
0000445696,P2
0000380328,P2
0000529364,P4
0000384361,P4
0000509097,P3
0000471231,P2
0000499998,P2
0000469940,P4
0000396263,P2
0000510572,P3
0000447010,P4
0000350543,P1
0000441121,P2
0000458259,P2
0000496180,P2
0000401555,P1
0000523847,P4
0000493992,P3
0000473495,P3
0000474968,P4
0000503344,P4
0000408590,P4
0000431875,P4
0000527377,P3
0000530824,P2
0000487951,P2
0000434225,P3
0000521145,P4
0000513675,P2
0000503268,P3
0000442214,P1
0000441171,P4
0000520667,P4
0000488741,P3
0000432572,P4
0000488076,P4
0000529164,P1
0000450297,P4
0000533264,P3
0000244230,P2
0000500133,P4
0000456793,P3
0000534645,P2
0000471889,P3
0000509663,P4
0000503702,P4
0000420340,P3
0000457175,P2
0000390412,P1
0000403159,P3
0000477629,P1
0000531683,P2
0000493013,P2
0000395042,P3
0000408477,P4
0000488613,P4
0000493215,P2
0000397361,P2
0000240049,P4
0000241187,P2
0000242641,P1
0000257461,P3
0000516959,P3
0000531180,P4
0000518508,P4
0000518992,P2
0000533226,P4
0000526577,P2
0000522515,P4
0000526101,P4
0000399921,P4
0000511693,P4
0000309839,P4
0000526873,P4
0000511084,P1
0000395312,P4
0000231804,P2
0000249175,P4
0000493744,P2
0000516360,P4
0000528680,P4
0000435807,P3
0000527600,P3
0000345082,P2
0000247989,P1
0000507100,P4
0000462599,P2
0000240837,P1
0000535050,P4
0000465828,P4
0000483742,P4
0000479149,P4
0000243909,P2
0000519886,P2
0000490468,P3
0000463037,P2
0000419760,P4
0000527737,P4
0000500061,P3
0000451947,P4
0000400325,P2
0000450068,P2
0000417897,P4
0000522483,P1
0000484211,P3
0000519830,P4
0000241488,P3
0000243659,P4
0000513891,P3
0000445918,P3
0000518171,P4
0000425495,P3
0000434110,P3
0000526388,P2
0000513486,P1
0000491987,P3
0000534839,P4
0000520753,P3
0000518919,P3
0000482174,P3
0000511941,P3
0000241088,P1
0000509692,P4
0000243020,P4
0000247940,P2
0000501292,P4
0000490354,P4
0000511032,P1
0000509193,P4
0000518045,P4
0000498811,P1
0000532015,P3
0000480545,P3
0000404871,P1
0000264167,P2
0000475437,P3
0000523501,P3
0000529693,P4
0000230976,P2
0000289865,P1
0000524789,P1
0000260111,P2
0000523092,P3
0000496973,P2
0000534912,P4
0000509646,P4
0000475487,P4
0000475615,P2
0000497143,P4
0000505919,P4
0000511441,P4
0000498772,P4
0000474790,P3
0000480973,P4
0000525231,P3
0000532053,P3
0000388333,P2
0000436003,P4
0000489746,P2
0000513029,P3
0000267625,P4
0000503641,P4
0000512098,P4
0000533862,P4
0000241075,P1
0000535661,P2
0000535662,P1
0000429687,P3
0000507251,P4
0000501079,P2
0000508152,P2
0000523497,P4
0000528334,P4
0000528652,P2
0000504713,P4
0000368928,P1
0000482604,P4
0000536014,P4
0000536015,P1
0000536020,P2
0000536021,P4
0000536022,P2
0000536023,P4
0000536024,P3
0000519846,P4
0000486556,P3
0000480116,P3
0000528728,P4
0000521890,P4
0000437214,P3
0000231543,P2
0000517757,P4
0000498537,P4
0000438876,P3
0000533945,P4
0000420453,P3
0000492950,P4
0000481092,P2
0000401171,P4
0000240943,P3
