ClienteCodigo,RFM_Score,RFM_Level
235364,7,Medium
235365,11,High
235369,10,High
235371,9,High
235373,9,High
235375,3,Require Activation
235381,7,Medium
235391,8,Medium
235396,3,Require Activation
235403,7,Medium
235411,9,High
235416,11,High
235417,11,High
235422,12,High
235430,12,High
235431,11,High
235436,7,Medium
235438,11,High
235439,9,High
235447,6,Promising
235453,11,High
235455,7,Medium
235468,10,High
235470,12,High
235474,7,Medium
235483,12,High
235532,11,High
235537,4,Needs Attention
235544,9,High
235545,11,High
235597,10,High
235600,11,High
235609,10,High
235622,3,Require Activation
235623,10,High
235627,3,Require Activation
235628,4,Needs Attention
235633,9,High
235661,11,High
235668,5,Promising
235683,8,Medium
235686,5,Promising
235698,10,High
235713,12,High
235716,3,Require Activation
235718,11,High
235726,10,High
235738,11,High
235740,8,Medium
235745,11,High
235747,9,High
235771,10,High
235773,10,High
235779,10,High
235782,10,High
235805,7,Medium
235832,12,High
235835,8,Medium
235840,10,High
235865,10,High
235883,10,High
235894,8,Medium
235897,5,Promising
235917,4,Needs Attention
235921,10,High
235941,12,High
235942,12,High
235947,9,High
235954,5,Promising
235975,3,Require Activation
235977,12,High
235987,11,High
235991,12,High
235992,7,Medium
235993,6,Promising
236005,11,High
236014,11,High
236016,10,High
236021,7,Medium
236038,6,Promising
236044,4,Needs Attention
236046,10,High
236049,8,Medium
236050,10,High
236056,11,High
236058,5,Promising
236059,12,High
236061,8,Medium
236065,12,High
236067,3,Require Activation
236069,6,Promising
236070,10,High
236073,8,Medium
236074,11,High
236076,11,High
236078,8,Medium
236082,3,Require Activation
236084,8,Medium
236085,9,High
236091,11,High
236096,6,Promising
236107,9,High
236147,3,Require Activation
236148,6,Promising
236165,7,Medium
236167,12,High
236176,5,Promising
236193,11,High
236208,11,High
236210,12,High
236212,10,High
236214,12,High
236218,10,High
236224,10,High
236231,9,High
236234,9,High
236266,7,Medium
236272,9,High
236280,10,High
236282,7,Medium
236287,12,High
236288,10,High
236289,11,High
236290,7,Medium
236298,11,High
236303,12,High
236314,9,High
236315,3,Require Activation
236316,6,Promising
236322,12,High
236323,7,Medium
236324,11,High
236327,9,High
236332,9,High
236342,7,Medium
236345,11,High
236346,12,High
236352,4,Needs Attention
236358,7,Medium
236370,7,Medium
236377,12,High
236381,7,Medium
236383,10,High
236404,10,High
236405,10,High
236407,12,High
236408,6,Promising
236409,4,Needs Attention
236418,9,High
236423,5,Promising
236430,8,Medium
236440,6,Promising
236442,10,High
236444,11,High
236446,12,High
236455,12,High
236456,6,Promising
236468,9,High
236478,9,High
236491,4,Needs Attention
236498,9,High
236512,7,Medium
236513,10,High
236515,10,High
236522,11,High
236539,10,High
236540,10,High
236551,8,Medium
236585,12,High
236629,8,Medium
236630,7,Medium
236647,9,High
236659,7,Medium
236666,11,High
236667,10,High
236673,9,High
236674,10,High
236680,11,High
236691,8,Medium
236696,11,High
236704,11,High
236749,11,High
236767,9,High
236794,10,High
236823,6,Promising
236833,12,High
236838,12,High
236839,3,Require Activation
236859,8,Medium
236876,7,Medium
236898,11,High
236911,3,Require Activation
236914,10,High
236954,7,Medium
236977,12,High
236979,12,High
236982,12,High
236995,8,Medium
237007,12,High
237021,10,High
237022,7,Medium
237029,11,High
237030,5,Promising
237036,11,High
237037,8,Medium
237039,11,High
237041,12,High
237044,8,Medium
237046,3,Require Activation
237055,12,High
237056,12,High
237070,8,Medium
237090,8,Medium
237107,9,High
237168,3,Require Activation
237171,10,High
237182,9,High
237183,5,Promising
237207,12,High
237215,5,Promising
237218,5,Promising
237222,12,High
237223,10,High
237230,7,Medium
237234,12,High
237236,3,Require Activation
237243,9,High
237244,7,Medium
237275,6,Promising
237284,8,Medium
237286,8,Medium
237289,11,High
237307,9,High
237326,3,Require Activation
237331,6,Promising
237333,6,Promising
237339,9,High
237343,8,Medium
237360,5,Promising
237364,7,Medium
237384,9,High
237387,9,High
237404,12,High
237405,6,Needs Attention
237414,11,High
237434,5,Promising
237451,8,Medium
237465,6,Promising
237469,8,Medium
237504,5,Promising
237510,9,High
237513,8,Medium
237518,12,High
237535,8,Medium
237549,10,High
237551,7,Medium
237563,12,High
237566,10,High
237584,11,High
237605,3,Require Activation
237607,3,Require Activation
237609,10,High
237610,9,High
237614,9,High
237618,7,Medium
237619,8,Medium
237624,12,High
237626,10,High
237637,6,Promising
237639,6,Promising
237644,11,High
237646,6,Promising
237650,10,High
237653,6,Promising
237656,4,Needs Attention
237682,3,Require Activation
237684,10,High
237692,10,High
237733,6,Promising
237758,5,Promising
237790,10,High
237804,12,High
237814,11,High
237827,6,Promising
237835,10,High
237863,12,High
237867,10,High
237870,11,High
237875,10,High
237887,5,Promising
237888,4,Needs Attention
237890,11,High
237891,9,High
237896,9,High
237905,9,High
237919,5,Promising
237920,5,Promising
237922,10,High
237945,8,Medium
237949,3,Require Activation
237963,7,Medium
237966,10,High
237970,4,Needs Attention
238026,10,High
238053,10,High
238061,4,Needs Attention
238078,11,High
238079,12,High
238089,10,High
238109,11,High
238120,3,Require Activation
238147,10,High
238152,8,Medium
238159,10,High
238162,4,Needs Attention
238172,11,High
238182,11,High
238187,10,High
238195,8,Medium
238197,8,Medium
238199,8,Medium
238200,12,High
